City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,12.11,89,100,5.66,NZ,1687222593
1,xilin hot,43.9667,116.0333,18.21,53,5,6.77,CN,1687222593
2,blackmans bay,-43.0167,147.3167,8.62,70,53,3.84,AU,1687222593
3,san fernando,15.0286,120.6898,29.85,69,14,1.53,PH,1687222593
4,edinburgh of the seven seas,-37.0676,-12.3116,15.82,96,100,12.81,SH,1687222593
5,kudahuvadhoo,2.6708,72.8944,28.39,76,14,4.99,MV,1687222594
6,port elizabeth,-33.918,25.5701,12.16,57,0,11.32,ZA,1687222594
7,college,64.8569,-147.8028,20.88,42,100,3.09,US,1687222387
8,cannonvale,-20.2833,148.7,21.66,65,7,4.23,AU,1687222594
9,ulladulla,-35.35,150.4667,12.53,39,0,4.35,AU,1687222594
10,wynyard,-41.0,145.7167,8.88,70,10,4.16,AU,1687222594
11,bethel,41.3712,-73.414,20.93,78,99,2.2,US,1687222595
12,yellowknife,62.456,-114.3525,17.29,42,40,3.09,CA,1687222454
13,grytviken,-54.2811,-36.5092,-2.69,84,14,4.69,GS,1687222595
14,mili,6.0815,171.735,27.98,77,76,3.21,MH,1687222595
15,hithadhoo,-0.6,73.0833,28.62,73,94,4.95,MV,1687222595
16,waitangi,-43.9535,-176.5597,13.23,76,56,4.92,NZ,1687222595
17,cabedelo,-6.9811,-34.8339,25.37,84,7,4.13,BR,1687222596
18,alice springs,-23.7,133.8833,17.34,36,100,3.09,AU,1687222596
19,ilulissat,69.2167,-51.1,5.01,75,75,2.06,GL,1687222596
20,narvik,68.4384,17.4272,19.66,69,100,3.62,NO,1687222596
21,port-aux-francais,-49.35,70.2167,3.01,66,67,14.44,TF,1687222596
22,coquimbo,-29.9533,-71.3436,14.85,82,0,1.03,CL,1687222396
23,gstaad,46.4721,7.2869,16.88,95,100,2.5,CH,1687222597
24,lobujya,27.95,86.8167,0.73,77,62,1.15,NP,1687222597
25,punta arenas,-53.15,-70.9167,3.95,84,100,3.44,CL,1687222330
26,talnakh,69.4865,88.3972,4.56,100,100,2.05,RU,1687222597
27,codrington,-38.2667,141.9667,9.47,68,100,2.77,AU,1687222597
28,udachny,66.4167,112.4,11.92,46,100,4.04,RU,1687222598
29,adamstown,-25.066,-130.1015,23.77,80,69,10.42,PN,1687222598
30,karbala,32.616,44.0249,29.54,23,0,4.4,IQ,1687222598
31,anori,-3.7728,-61.6442,22.89,95,100,0.69,BR,1687222598
32,turpan,42.9333,89.1667,36.61,12,100,0.86,CN,1687222598
33,okhotsk,59.3833,143.3,11.95,78,76,4.18,RU,1687222598
34,namibe,-15.1961,12.1522,17.05,79,70,2.5,AO,1687222599
35,thompson,55.7435,-97.8558,19.09,94,75,1.54,CA,1687222599
36,iskateley,67.6803,53.1512,3.81,79,23,3.97,RU,1687222599
37,rouyn-noranda,48.2398,-79.0288,26.05,38,20,2.06,CA,1687222543
38,gadzhiyevo,69.2551,33.3362,5.57,80,5,1.58,RU,1687222599
39,guarambare,-25.4833,-57.4667,15.57,70,6,2.78,PY,1687222599
40,aasiaat,68.7098,-52.8699,2.61,83,100,2.22,GL,1687222600
41,tura,25.5198,90.2201,23.79,97,83,3.31,IN,1687222600
42,hermanus,-34.4187,19.2345,9.33,66,100,8.09,ZA,1687222600
43,isafjordur,66.0755,-23.124,5.06,93,100,3.57,IS,1687222600
44,baskale,38.0453,44.0172,8.43,71,0,1.46,TR,1687222600
45,jamestown,42.097,-79.2353,25.8,47,0,2.06,US,1687222601
46,port mathurin,-19.6833,63.4167,24.15,65,14,9.39,MU,1687222601
47,myshkin,57.7897,38.4545,11.48,85,88,2.38,RU,1687222601
48,olonkinbyen,70.9221,-8.7187,4.21,98,100,4.73,SJ,1687222601
49,ribeira grande,38.5167,-28.7,18.76,89,100,2.68,PT,1687222601
50,san antonio de pale,-1.4014,5.6325,24.48,78,98,6.88,GQ,1687222601
51,harper,4.375,-7.7169,24.82,88,100,5.25,LR,1687222602
52,changling,44.2653,124.0005,19.24,79,100,4.26,CN,1687222602
53,albany,42.6001,-73.9662,20.65,73,82,0.5,US,1687222602
54,bredasdorp,-34.5322,20.0403,9.21,72,96,5.66,ZA,1687222602
55,ancud,-41.8697,-73.8203,5.85,81,5,3.48,CL,1687222602
56,lata,40.1629,-8.3327,18.29,99,68,0.81,PT,1687222603
57,vorgashor,67.5833,63.95,3.92,76,100,4.36,RU,1687222603
58,ambon,-3.6954,128.1814,32.08,83,40,1.03,ID,1687222603
59,papao,-17.75,-149.55,28.82,79,0,3.66,PF,1687222603
60,sisimiut,66.9395,-53.6735,8.13,45,100,2.67,GL,1687222603
61,ushuaia,-54.8,-68.3,2.81,75,20,3.09,AR,1687222417
62,fort mcmurray,56.7268,-111.381,13.77,100,100,6.17,CA,1687222455
63,portage la prairie,49.9728,-98.2926,28.85,53,65,4.92,CA,1687222604
64,qaqortoq,60.7167,-46.0333,1.88,87,32,0.68,GL,1687222604
65,mogocha,53.7333,119.7667,22.59,45,1,1.19,RU,1687222604
66,klyuchi,52.2667,79.1667,15.96,58,0,8.7,RU,1687222604
67,pisco,-13.7,-76.2167,21.03,73,100,2.57,PE,1687222604
68,alofi,-19.0595,-169.9187,25.94,69,75,4.12,NU,1687222606
69,anadyr,64.75,177.4833,21.28,37,20,5.0,RU,1687222606
70,kununurra,-15.7667,128.7333,24.99,29,98,2.57,AU,1687222606
71,ghadamis,30.1337,9.5007,28.95,14,1,6.48,LY,1687222606
72,west bay,19.3667,-81.4167,29.04,77,20,3.09,KY,1687222606
73,virrat,62.2476,23.78,16.64,69,17,1.18,FI,1687222607
74,iqaluit,63.7506,-68.5145,7.85,70,75,1.03,CA,1687222607
75,busan,35.1028,129.0403,24.99,47,40,4.63,KR,1687222607
76,nagqu,31.5,92.0,6.27,71,49,1.75,CN,1687222607
77,puerto natales,-51.7236,-72.4875,-0.77,91,100,1.6,CL,1687222607
78,ust-nera,64.5667,143.2,24.28,26,100,1.69,RU,1687222608
79,ciudad del maiz,22.4,-99.6,28.57,34,4,4.36,MX,1687222608
80,kodiak,57.79,-152.4072,15.73,59,0,2.57,US,1687222608
81,terra santa,-2.1042,-56.4869,24.46,80,0,0.59,BR,1687222608
82,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.06,GF,1687222383
83,port-gentil,-0.7193,8.7815,22.98,94,100,3.6,GA,1687222608
84,freetown,8.484,-13.2299,26.84,83,75,4.63,SL,1687222609
85,witu,-2.3889,40.4382,25.09,80,51,4.36,KE,1687222609
86,tiksi,71.6872,128.8694,8.56,81,100,3.97,RU,1687222609
87,howard springs,-12.497,131.047,28.23,49,58,3.92,AU,1687222609
88,sao jose da coroa grande,-8.8978,-35.1478,24.72,85,73,2.6,BR,1687222609
89,luanda,-8.8368,13.2343,22.0,83,75,1.54,AO,1687222609
90,port lincoln,-34.7333,135.8667,13.02,61,11,5.29,AU,1687222610
91,ha'il,27.5219,41.6907,28.01,24,0,2.06,SA,1687222328
92,mawlaik,23.6333,94.4167,25.08,92,100,0.66,MM,1687222610
93,atafu village,-8.5421,-172.5159,28.2,68,14,4.51,TK,1687222610
94,vrangel',42.7297,133.0839,17.75,72,100,2.31,RU,1687222610
